Mapping parameters for Rhincodon typus (Whale shark)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."



Occurrence cells used for creating environmental envelope (n = 1215)
Genus,Species,Center Lat,Center Long,C-Square,Depth (m),Surface Water Temp. (°C),Bottom Water Temp. (°C),Surface Salinity (psu),Bottom Salinity (psu),Primary Production (mgC·m-3·day-1),Sea Ice Concentration (0-1 fraction),Dissolved Bottom Oxygen (mmol·m-3),Distance to Land (km)
Rhincodon,typus,-27.75,32.75,3203:372:4,593,24.6857166290283,7.79331398010254,35.2162322998047,34.7392539978027,15.7730001956224,0,170.226715087891,19
Rhincodon,typus,-27.25,32.75,3203:372:2,406,24.6925525665283,21.223072052002,35.1957397460938,35.3864364624023,14.6749997511506,0,178.115997314453,11
Rhincodon,typus,-27.25,153.75,3215:373:2,302,24.0705528259277,18.3509693145752,35.3608322143555,35.5801391601563,12.4089997261763,0,181.593948364258,24
Rhincodon,typus,-27.25,-48.75,5204:478:2,17,21.7302646636963,21.0952625274658,35.0721435546875,36.1352767944336,13.7217417359352,0,224.595657348633,4
Rhincodon,typus,-27.25,-109.25,5210:479:1,2100,22.4706783294678,1.59161996841431,36.0343322753906,34.6775360107422,0.13299999409355198,0,162.21305847168,24
Rhincodon,typus,-26.75,32.75,3203:362:4,73,24.4875679016113,21.6856288909912,35.1186332702637,35.3039703369141,16.5538229048252,0,190.00700378418,5
Rhincodon,typus,-26.75,-32.75,5203:362:4,4432,23.2951507568359,0.833934009075165,36.3690795898438,34.7477836608887,0.24199999461416202,0,227.989288330078,783
Rhincodon,typus,-26.75,-46.75,5204:466:4,199,23.5513401031494,17.3406562805176,36.7335891723633,35.7934875488281,7.81700015068054,0,203.623275756836,208
Rhincodon,typus,-26.25,32.75,3203:362:2,15,24.3298854827881,22.888599395752,35.0447578430176,35.2663650512695,18.225250765681302,0,200.951232910156,8
Rhincodon,typus,-26.25,113.25,3211:363:1,54,23.0882625579834,22.3023166656494,35.1605682373047,35.4810180664063,2.97455256804824,0,216.14924621582,22
Rhincodon,typus,-26.25,-109.25,5210:469:1,3177,22.7918815612793,1.56062495708466,36.1682510375977,34.6867828369141,0.103999998827931,0,155.9462890625,161
Rhincodon,typus,-25.75,113.25,3211:353:3,8,22.8353729248047,22.8843727111816,35.1618843078613,35.2884407043457,3.87299992144108,0,216.626510620117,23
Rhincodon,typus,-25.75,113.75,3211:353:4,3,22.6429748535156,22.4375419616699,35.2008018493652,35.3758239746094,4.24699997529387,0,219.260223388672,20
Rhincodon,typus,-25.25,110.25,3211:350:1,3702,23.1145343780518,0.985571026802063,35.3125495910645,34.7262115478516,0.961999990977347,0,193.244583129883,307
Rhincodon,typus,-25.25,113.25,3211:353:1,34,22.9911632537842,22.9532623291016,35.1818809509277,35.2579078674316,3.0320000369101803,0,216.09880065918,25
Rhincodon,typus,-25.25,-45.25,5204:455:1,127,23.6807041168213,18.7423114776611,36.6692314147949,36.183967590332,11.7849996313453,0,207.745620727539,200
Rhincodon,typus,-24.75,153.25,3215:143:3,40,24.0334968566895,24.2174644470215,35.4322776794434,35.3292121887207,8.78699962049723,0,212.669174194336,24
Rhincodon,typus,-24.75,-46.75,5204:246:4,40,23.1054611206055,19.4022846221924,35.8385238647461,36.208309173584,6.31899992004037,0,202.891418457031,86
Rhincodon,typus,-24.75,-129.25,5212:249:3,3459,24.3307495117188,1.40542101860046,35.9820175170898,34.6827621459961,0.13800000306218901,0,172.891555786133,166
Rhincodon,typus,-24.25,35.25,3203:245:1,33,25.3133544921875,18.9744033813477,34.8872222900391,35.2451400756836,11.3696875050664,0,186.586929321289,7
Rhincodon,typus,-24.25,35.75,3203:245:2,554,25.733922958374,7.08247518539429,34.9315528869629,34.6182632446289,12.0639996603131,0,132.103515625,76
Rhincodon,typus,-24.25,-44.75,5204:144:2,111,23.5585136413574,18.3945999145508,36.6277656555176,36.1428070068359,17.0380007475615,0,207.923217773438,125
Rhincodon,typus,-24.25,-45.75,5204:245:2,51,23.2402839660645,18.8482627868652,36.0369644165039,36.2888526916504,20.5739997327328,0,202.103912353516,86
Rhincodon,typus,-24.25,-46.75,5204:246:2,37,23.313117980957,22.2447528839111,35.4500885009766,35.9798736572266,10.848999954760101,0,231.784118652344,19
Rhincodon,typus,-24.25,-128.25,5212:248:1,2607,24.4738578796387,1.67465794086456,36.0406341552734,34.6622314453125,0.151000000187196,0,161.902862548828,25
Rhincodon,typus,-23.75,35.25,3203:235:3,5,25.4600982666016,19.3355846405029,34.5828132629395,35.2615051269531,12.8773478791118,0,191.896286010742,5
Rhincodon,typus,-23.75,35.75,3203:235:4,270,25.8268795013428,13.2521896362305,34.8431129455566,35.3414611816406,11.370999738574,0,177.281890869141,25
Rhincodon,typus,-23.75,113.75,3211:133:4,8,24.1208324432373,23.7550983428955,34.9881324768066,35.2093200683594,4.25489153712988,0,212.8212890625,5
Rhincodon,typus,-23.75,-35.75,5203:235:4,4118,24.7994785308838,0.90369701385498,36.8913650512695,34.7527961730957,0.353999988874421,0,228.964614868164,620
Rhincodon,typus,-23.25,35.75,3203:235:2,271,25.9162826538086,13.3068914413452,34.633056640625,35.3029899597168,11.9510004296899,0,175.596694946289,25
